이미지,X1,Y1,X2,Y2,라벨
photo_001_aug_1.jpg,105,112,508,352,part
photo_001_aug_2.jpg,90,79,480,338,part
photo_001_aug_3.jpg,109,122,507,349,part
photo_001_aug_4.jpg,100,112,462,318,part
photo_001_aug_5.jpg,87,97,402,276,part
photo_001_aug_6.jpg,155,90,493,295,part
photo_001_aug_7.jpg,172,87,587,361,part
photo_001_aug_8.jpg,100,112,462,318,part
photo_001_aug_10.jpg,206,129,625,368,part
photo_002_aug_1.jpg,152,92,485,443,part
photo_002_aug_2.jpg,273,94,519,369,part
photo_002_aug_3.jpg,162,74,380,317,part
photo_002_aug_4.jpg,177,91,383,326,part
photo_002_aug_5.jpg,202,46,485,344,part
photo_002_aug_6.jpg,300,106,541,381,part
photo_002_aug_7.jpg,223,66,454,320,part
photo_002_aug_8.jpg,147,91,480,440,part
photo_002_aug_9.jpg,199,44,485,344,part
photo_002_aug_10.jpg,175,61,472,379,part
photo_003_aug_1.jpg,56,127,348,407,part
photo_003_aug_2.jpg,61,46,298,269,part
photo_003_aug_3.jpg,86,116,316,322,part
photo_003_aug_4.jpg,49,118,319,379,part
photo_003_aug_5.jpg,296,124,582,396,part
photo_003_aug_6.jpg,87,118,321,328,part
photo_003_aug_7.jpg,55,128,349,410,part
photo_003_aug_8.jpg,267,23,565,311,part
photo_003_aug_9.jpg,62,121,336,378,part
photo_003_aug_10.jpg,54,111,308,350,part
photo_004_aug_1.jpg,63,71,500,366,part
photo_004_aug_2.jpg,92,105,567,391,part
photo_004_aug_3.jpg,38,30,515,436,part
photo_004_aug_4.jpg,114,27,578,383,part
photo_004_aug_5.jpg,61,3,537,400,part
photo_004_aug_6.jpg,80,91,490,338,part
photo_004_aug_7.jpg,115,30,577,381,part
photo_004_aug_8.jpg,80,91,490,338,part
photo_004_aug_9.jpg,142,86,532,321,part
photo_004_aug_10.jpg,80,91,490,338,part
photo_005_aug_1.jpg,221,107,588,401,part
photo_005_aug_2.jpg,236,107,583,320,part
photo_005_aug_3.jpg,176,46,481,275,part
photo_005_aug_4.jpg,68,122,383,300,part
photo_005_aug_6.jpg,224,110,587,384,part
photo_005_aug_7.jpg,51,106,419,412,part
photo_005_aug_8.jpg,50,106,395,360,part
photo_005_aug_10.jpg,234,120,577,337,part
photo_006_aug_1.jpg,97,35,564,415,part
photo_006_aug_2.jpg,95,126,512,338,part
photo_006_aug_3.jpg,104,50,571,431,part
photo_006_aug_4.jpg,74,52,539,401,part
photo_006_aug_5.jpg,73,81,479,334,part
photo_006_aug_6.jpg,119,106,569,372,part
photo_006_aug_7.jpg,109,108,467,289,part
photo_006_aug_8.jpg,78,81,524,371,part
photo_006_aug_9.jpg,95,126,512,338,part
photo_006_aug_10.jpg,87,117,472,311,part
photo_007_aug_1.jpg,86,143,470,327,part
photo_007_aug_2.jpg,121,78,468,332,part
photo_007_aug_3.jpg,159,75,620,407,part
photo_007_aug_4.jpg,148,58,585,392,part
photo_007_aug_5.jpg,163,80,636,416,part
photo_007_aug_6.jpg,79,120,557,443,part
photo_007_aug_7.jpg,151,104,569,389,part
photo_007_aug_8.jpg,148,79,568,367,part
photo_007_aug_9.jpg,158,133,514,303,part
photo_007_aug_10.jpg,159,125,563,356,part
photo_008_aug_1.jpg,79,113,511,354,part
photo_008_aug_2.jpg,67,85,524,375,part
photo_008_aug_3.jpg,72,103,516,366,part
photo_008_aug_4.jpg,113,85,577,389,part
photo_008_aug_6.jpg,113,85,577,389,part
photo_008_aug_7.jpg,74,106,480,333,part
photo_008_aug_8.jpg,129,113,561,354,part
photo_008_aug_9.jpg,53,58,468,343,part
