이미지,X1,Y1,X2,Y2,라벨
photo_001_aug_2.jpg,89,0,640,451,part
photo_001_aug_3.jpg,145,79,625,386,part
photo_001_aug_4.jpg,15,79,495,386,part
photo_001_aug_5.jpg,108,32,640,473,part
photo_001_aug_6.jpg,145,79,625,386,part
photo_001_aug_7.jpg,140,70,628,390,part
photo_001_aug_8.jpg,0,51,517,436,part
photo_001_aug_9.jpg,0,24,537,480,part
photo_001_aug_10.jpg,145,79,625,386,part
photo_002_aug_1.jpg,127,43,635,427,part
photo_002_aug_2.jpg,26,88,536,441,part
photo_002_aug_4.jpg,0,0,535,453,part
photo_002_aug_6.jpg,6,46,516,430,part
photo_002_aug_7.jpg,96,0,640,462,part
photo_002_aug_8.jpg,0,0,527,449,part
photo_002_aug_9.jpg,100,32,624,468,part
photo_002_aug_10.jpg,147,81,616,406,part
photo_003_aug_1.jpg,168,136,491,395,part
photo_003_aug_2.jpg,124,106,443,375,part
photo_003_aug_3.jpg,98,67,519,463,part
photo_003_aug_4.jpg,178,162,565,473,part
photo_003_aug_5.jpg,149,136,472,395,part
photo_003_aug_6.jpg,149,136,472,395,part
photo_003_aug_7.jpg,170,138,499,401,part
photo_003_aug_8.jpg,113,85,433,365,part
photo_003_aug_9.jpg,149,136,472,395,part
photo_003_aug_10.jpg,195,157,570,458,part
photo_004_aug_1.jpg,239,19,593,368,part
photo_004_aug_2.jpg,274,86,579,385,part
photo_004_aug_3.jpg,34,86,398,446,part
photo_004_aug_4.jpg,229,91,609,468,part
photo_004_aug_5.jpg,275,85,547,351,part
photo_004_aug_6.jpg,73,89,355,364,part
photo_004_aug_7.jpg,60,73,294,301,part
photo_004_aug_8.jpg,47,21,399,368,part
photo_004_aug_9.jpg,77,94,374,384,part
photo_004_aug_10.jpg,71,85,357,364,part
photo_005_aug_1.jpg,160,95,464,405,part
photo_005_aug_2.jpg,202,131,432,374,part
photo_005_aug_3.jpg,208,131,438,374,part
photo_005_aug_4.jpg,183,114,447,389,part
photo_005_aug_5.jpg,230,149,493,426,part
photo_005_aug_6.jpg,192,119,417,357,part
photo_005_aug_7.jpg,175,95,479,405,part
photo_005_aug_8.jpg,167,105,351,299,part
photo_005_aug_9.jpg,158,91,475,413,part
photo_005_aug_10.jpg,172,105,406,349,part
photo_006_aug_1.jpg,171,83,486,361,part
photo_006_aug_2.jpg,107,113,436,397,part
photo_006_aug_3.jpg,107,113,436,397,part
photo_006_aug_4.jpg,204,113,533,397,part
photo_006_aug_5.jpg,204,113,533,397,part
photo_006_aug_6.jpg,119,125,485,442,part
photo_006_aug_7.jpg,107,113,438,398,part
photo_006_aug_8.jpg,204,113,533,397,part
photo_006_aug_9.jpg,81,76,443,403,part
photo_006_aug_10.jpg,66,70,392,372,part
photo_007_aug_1.jpg,74,75,286,295,part
photo_007_aug_2.jpg,78,44,463,437,part
photo_007_aug_3.jpg,71,48,386,371,part
photo_007_aug_4.jpg,284,94,547,367,part
photo_007_aug_5.jpg,286,70,606,399,part
photo_007_aug_6.jpg,83,86,329,340,part
photo_007_aug_7.jpg,289,95,557,373,part
photo_007_aug_8.jpg,278,92,553,377,part
photo_007_aug_9.jpg,284,94,547,367,part
photo_007_aug_10.jpg,224,10,579,370,part
photo_008_aug_1.jpg,134,109,298,240,part
photo_008_aug_2.jpg,143,126,372,324,part
photo_008_aug_3.jpg,140,114,312,251,part
photo_008_aug_4.jpg,238,78,484,304,part
photo_008_aug_5.jpg,278,133,477,292,part
photo_008_aug_6.jpg,170,139,379,305,part
photo_008_aug_7.jpg,187,152,416,335,part
photo_008_aug_8.jpg,302,144,518,317,part
photo_008_aug_9.jpg,114,108,329,308,part
photo_008_aug_10.jpg,155,78,401,304,part
photo_009_aug_1.jpg,110,164,424,416,part
photo_009_aug_3.jpg,201,240,526,437,part
photo_009_aug_4.jpg,155,238,436,379,part
photo_009_aug_5.jpg,215,250,511,399,part
photo_009_aug_6.jpg,103,162,354,329,part
photo_009_aug_7.jpg,160,194,473,430,part
photo_009_aug_8.jpg,207,197,513,403,part
photo_009_aug_9.jpg,175,269,494,429,part
photo_009_aug_10.jpg,142,185,417,371,part
photo_010_aug_1.jpg,70,63,507,419,part
photo_010_aug_2.jpg,93,100,486,393,part
photo_010_aug_3.jpg,93,100,486,393,part
photo_010_aug_4.jpg,136,88,483,347,part
photo_010_aug_5.jpg,73,77,414,336,part
photo_010_aug_6.jpg,51,17,549,465,part
photo_010_aug_7.jpg,105,113,552,447,part
photo_010_aug_8.jpg,154,100,547,393,part
photo_010_aug_9.jpg,175,113,623,447,part
photo_010_aug_10.jpg,78,84,409,330,part
photo_011_aug_1.jpg,158,99,572,381,part
photo_011_aug_2.jpg,99,0,546,395,part
photo_011_aug_3.jpg,32,2,533,443,part
photo_011_aug_4.jpg,174,109,630,419,part
photo_011_aug_5.jpg,134,84,487,323,part
photo_011_aug_6.jpg,141,88,512,341,part
photo_011_aug_7.jpg,64,93,456,360,part
photo_011_aug_8.jpg,158,99,572,381,part
photo_011_aug_10.jpg,121,26,603,424,part
photo_012_aug_1.jpg,264,121,619,402,part
photo_012_aug_2.jpg,11,31,423,400,part
photo_012_aug_3.jpg,211,97,494,321,part
photo_012_aug_4.jpg,226,54,622,398,part
photo_012_aug_5.jpg,15,84,369,401,part
photo_012_aug_7.jpg,254,117,595,387,part
photo_012_aug_8.jpg,202,0,631,400,part
photo_012_aug_9.jpg,18,100,444,480,part
photo_012_aug_10.jpg,260,105,638,413,part
photo_013_aug_1.jpg,255,127,639,480,part
photo_013_aug_2.jpg,312,120,616,380,part
photo_013_aug_3.jpg,0,7,377,370,part
photo_013_aug_4.jpg,265,92,538,329,part
photo_013_aug_5.jpg,312,120,616,380,part
photo_013_aug_6.jpg,0,16,372,372,part
photo_013_aug_7.jpg,274,105,541,334,part
photo_013_aug_8.jpg,24,120,328,380,part
photo_013_aug_9.jpg,26,134,365,424,part
photo_013_aug_10.jpg,258,99,511,315,part
photo_014_aug_1.jpg,283,0,640,365,part
photo_014_aug_2.jpg,0,0,362,362,part
photo_014_aug_5.jpg,0,101,341,451,part
photo_014_aug_6.jpg,10,83,276,349,part
photo_014_aug_7.jpg,1,53,357,409,part
photo_014_aug_8.jpg,0,102,341,452,part
photo_014_aug_9.jpg,335,93,621,379,part
photo_014_aug_10.jpg,269,74,499,304,part
photo_015_aug_1.jpg,118,81,413,363,part
photo_015_aug_2.jpg,201,68,528,383,part
photo_015_aug_3.jpg,195,76,472,342,part
photo_015_aug_4.jpg,214,84,518,375,part
photo_015_aug_5.jpg,111,77,390,343,part
photo_015_aug_6.jpg,80,57,465,434,part
photo_015_aug_7.jpg,122,84,426,375,part
photo_015_aug_8.jpg,226,86,559,405,part
photo_015_aug_9.jpg,199,73,534,396,part
photo_015_aug_10.jpg,103,71,361,317,part
photo_016_aug_1.jpg,267,158,551,382,part
photo_016_aug_2.jpg,210,87,492,332,part
photo_016_aug_3.jpg,59,99,392,390,part
photo_016_aug_4.jpg,245,150,560,416,part
photo_016_aug_5.jpg,76,147,404,431,part
photo_016_aug_6.jpg,78,139,330,338,part
photo_016_aug_7.jpg,103,184,434,444,part
photo_016_aug_8.jpg,90,160,378,388,part
photo_016_aug_9.jpg,89,158,373,382,part
photo_016_aug_10.jpg,267,158,551,382,part
photo_017_aug_1.jpg,137,86,489,361,part
photo_017_aug_2.jpg,147,93,508,373,part
photo_017_aug_3.jpg,167,98,547,392,part
photo_017_aug_4.jpg,144,92,497,366,part
photo_017_aug_5.jpg,106,21,541,426,part
photo_017_aug_6.jpg,130,70,561,430,part
photo_017_aug_7.jpg,165,105,569,418,part
photo_017_aug_8.jpg,119,76,413,304,part
photo_017_aug_9.jpg,153,90,499,358,part
photo_017_aug_10.jpg,141,90,487,358,part
photo_018_aug_1.jpg,143,109,445,391,part
photo_018_aug_2.jpg,195,109,497,391,part
photo_018_aug_3.jpg,121,92,377,331,part
photo_018_aug_4.jpg,195,109,497,391,part
photo_018_aug_5.jpg,103,59,480,423,part
photo_018_aug_6.jpg,138,103,449,394,part
photo_018_aug_7.jpg,143,109,445,391,part
photo_018_aug_8.jpg,178,81,537,424,part
photo_018_aug_9.jpg,143,109,445,391,part
photo_018_aug_10.jpg,140,66,536,454,part
photo_019_aug_1.jpg,193,105,540,398,part
photo_019_aug_2.jpg,193,105,540,398,part
photo_019_aug_3.jpg,193,105,540,398,part
photo_019_aug_4.jpg,193,105,540,398,part
photo_019_aug_5.jpg,55,28,490,435,part
photo_019_aug_6.jpg,193,105,540,398,part
photo_019_aug_7.jpg,117,123,523,466,part
photo_019_aug_8.jpg,137,69,477,373,part
photo_019_aug_9.jpg,187,96,546,403,part
photo_019_aug_10.jpg,177,96,495,364,part
