이미지,X1,Y1,X2,Y2,라벨
photo_001_aug_1.jpg,101,87,496,392,part
photo_001_aug_2.jpg,164,155,515,341,part
photo_001_aug_3.jpg,144,135,452,299,part
photo_001_aug_4.jpg,133,165,508,364,part
photo_001_aug_5.jpg,135,167,514,368,part
photo_001_aug_6.jpg,135,128,425,282,part
photo_001_aug_7.jpg,115,76,456,363,part
photo_001_aug_8.jpg,155,135,524,356,part
photo_001_aug_9.jpg,164,94,621,457,part
photo_001_aug_10.jpg,106,132,406,291,part
photo_002_aug_1.jpg,94,109,616,423,part
photo_002_aug_2.jpg,80,93,524,360,part
photo_002_aug_4.jpg,107,78,566,372,part
photo_002_aug_5.jpg,119,96,579,372,part
photo_002_aug_6.jpg,52,11,564,429,part
photo_002_aug_7.jpg,122,93,626,409,part
photo_002_aug_8.jpg,87,62,464,308,part
photo_002_aug_9.jpg,59,55,496,354,part
photo_002_aug_10.jpg,116,93,560,360,part
photo_003_aug_1.jpg,122,146,492,328,part
photo_003_aug_2.jpg,129,98,533,369,part
photo_003_aug_3.jpg,111,79,466,340,part
photo_003_aug_4.jpg,103,97,510,384,part
photo_003_aug_5.jpg,122,146,492,328,part
photo_003_aug_6.jpg,102,91,511,391,part
photo_003_aug_7.jpg,102,88,512,395,part
photo_003_aug_8.jpg,162,160,568,360,part
photo_003_aug_9.jpg,148,146,517,328,part
photo_003_aug_10.jpg,114,125,501,346,part
photo_004_aug_1.jpg,218,76,462,309,part
photo_004_aug_2.jpg,263,139,461,313,part
photo_004_aug_3.jpg,275,146,482,327,part
photo_004_aug_4.jpg,158,146,365,327,part
photo_004_aug_5.jpg,220,117,412,290,part
photo_004_aug_6.jpg,177,163,408,366,part
photo_004_aug_7.jpg,147,135,339,304,part
photo_004_aug_8.jpg,265,129,490,331,part
photo_004_aug_9.jpg,258,138,497,358,part
photo_004_aug_10.jpg,154,154,446,429,part
photo_005_aug_1.jpg,254,123,569,391,part
photo_005_aug_2.jpg,127,148,388,353,part
photo_005_aug_3.jpg,265,156,539,372,part
photo_005_aug_4.jpg,216,127,440,303,part
photo_005_aug_5.jpg,110,133,415,398,part
photo_005_aug_6.jpg,242,142,492,339,part
photo_005_aug_7.jpg,127,148,388,353,part
photo_005_aug_8.jpg,266,156,540,372,part
photo_005_aug_9.jpg,203,119,413,285,part
photo_005_aug_10.jpg,118,136,358,325,part
photo_006_aug_1.jpg,132,120,367,352,part
photo_006_aug_2.jpg,220,97,411,285,part
photo_006_aug_3.jpg,206,95,459,346,part
photo_006_aug_4.jpg,273,120,509,353,part
photo_006_aug_5.jpg,273,120,508,352,part
photo_006_aug_6.jpg,132,120,367,352,part
photo_006_aug_7.jpg,101,48,415,361,part
photo_006_aug_8.jpg,234,103,447,313,part
photo_006_aug_9.jpg,242,106,450,312,part
photo_006_aug_10.jpg,256,112,483,336,part
photo_007_aug_1.jpg,18,26,497,399,part
photo_007_aug_2.jpg,55,84,523,369,part
photo_007_aug_3.jpg,55,83,522,368,part
photo_007_aug_4.jpg,111,79,555,351,part
photo_007_aug_6.jpg,104,75,523,330,part
photo_007_aug_7.jpg,117,84,584,369,part
photo_007_aug_8.jpg,76,8,594,414,part
photo_007_aug_9.jpg,85,24,621,450,part
photo_007_aug_10.jpg,26,0,570,444,part
photo_008_aug_1.jpg,5,161,352,461,part
photo_008_aug_2.jpg,322,145,635,416,part
photo_008_aug_3.jpg,263,117,515,336,part
photo_008_aug_4.jpg,324,145,635,414,part
photo_008_aug_5.jpg,0,128,314,410,part
photo_008_aug_6.jpg,283,19,640,395,part
photo_008_aug_7.jpg,0,148,353,477,part
photo_009_aug_1.jpg,67,106,596,422,part
