이미지,X1,Y1,X2,Y2,라벨
photo_001.jpg,100,112,462,318,part
photo_002.jpg,257,91,463,326,part
photo_003.jpg,86,116,316,322,part
photo_004.jpg,80,91,490,338,part
photo_005.jpg,75,130,398,306,part
photo_006.jpg,95,127,512,338,part
photo_007.jpg,87,144,470,327,part
photo_008.jpg,79,113,511,354,part
photo_009.jpg,83,140,331,327,part
photo_010.jpg,137,113,570,327,part
photo_011.jpg,86,130,500,321,part
photo_012.jpg,72,142,302,326,part
photo_013.jpg,95,122,483,327,part
photo_014.jpg,265,133,520,329,part
photo_015.jpg,120,129,555,343,part
photo_016.jpg,89,125,545,312,part
photo_017.jpg,125,138,526,331,part
photo_018.jpg,90,130,507,294,part
photo_019.jpg,48,148,276,302,part
photo_020.jpg,207,123,497,346,part
photo_021.jpg,76,117,338,322,part
photo_022.jpg,92,119,321,331,part
photo_023.jpg,89,151,462,322,part
photo_024.jpg,98,128,475,347,part
photo_025.jpg,113,114,458,339,part
photo_026.jpg,69,133,291,314,part
photo_027.jpg,38,123,465,307,part
photo_028.jpg,105,147,473,295,part
photo_029.jpg,33,132,442,311,part
photo_030.jpg,75,136,479,311,part
photo_031.jpg,54,143,480,316,part
photo_032.jpg,91,135,497,315,part
photo_033.jpg,96,116,468,309,part
photo_034.jpg,99,153,495,313,part
photo_035.jpg,94,125,509,309,part
photo_036.jpg,106,158,389,302,part
photo_037.jpg,123,143,575,355,part
photo_038.jpg,70,125,498,330,part
photo_039.jpg,92,150,394,291,part
photo_040.jpg,86,130,457,292,part
photo_041.jpg,123,147,522,341,part
photo_042.jpg,101,137,320,308,part
photo_043.jpg,302,149,443,308,part
photo_044.jpg,129,123,248,265,part
photo_045.jpg,278,137,501,237,part
photo_046.jpg,212,200,460,288,part
photo_047.jpg,152,159,325,218,part
photo_048.jpg,134,208,331,263,part
photo_049.jpg,182,179,371,243,part
photo_050.jpg,154,112,494,316,part
photo_051.jpg,88,142,515,322,part
photo_052.jpg,73,130,562,352,part
photo_053.jpg,279,129,482,292,part
photo_054.jpg,311,194,509,318,part
photo_055.jpg,211,126,508,257,part
photo_056.jpg,98,149,327,301,part
photo_057.jpg,73,213,452,305,part
photo_058.jpg,102,127,301,300,part
photo_059.jpg,230,120,431,284,part
photo_060.jpg,143,129,470,330,part
photo_061.jpg,89,168,427,314,part
photo_062.jpg,135,133,512,331,part
photo_063.jpg,276,164,518,319,part
photo_064.jpg,192,122,465,285,part
photo_065.jpg,237,144,488,295,part
photo_066.jpg,247,175,506,354,part
photo_067.jpg,160,101,490,285,part
photo_068.jpg,88,155,388,257,part
photo_069.jpg,18,146,454,302,part
photo_070.jpg,112,167,477,283,part
photo_071.jpg,107,128,476,304,part
photo_072.jpg,270,123,465,325,part
photo_073.jpg,41,142,309,286,part
photo_074.jpg,109,142,484,303,part
photo_075.jpg,137,149,526,321,part
photo_076.jpg,57,142,464,297,part
photo_077.jpg,83,137,410,273,part
photo_078.jpg,122,138,497,293,part
photo_079.jpg,200,180,437,270,part
photo_080.jpg,117,161,430,305,part
photo_081.jpg,169,134,464,303,part
photo_082.jpg,23,131,382,281,part
photo_083.jpg,183,180,482,316,part
photo_084.jpg,74,94,403,252,part
photo_085.jpg,127,145,449,301,part
photo_086.jpg,89,130,411,281,part
photo_087.jpg,105,160,454,274,part
photo_088.jpg,179,126,567,334,part
photo_089.jpg,82,131,522,293,part
photo_090.jpg,96,142,305,288,part
photo_091.jpg,108,142,513,314,part
photo_092.jpg,165,160,455,297,part
photo_093.jpg,61,140,405,290,part
photo_094.jpg,130,149,468,302,part
photo_095.jpg,137,170,466,283,part
photo_096.jpg,121,138,439,295,part
photo_097.jpg,91,153,509,336,part
photo_098.jpg,167,157,470,304,part
photo_099.jpg,59,121,462,296,part
photo_100.jpg,95,137,457,294,part
