이미지,X1,Y1,X2,Y2,라벨
photo_001.jpg,15,79,495,386,part
photo_002.jpg,147,81,616,406,part
photo_003.jpg,168,136,491,395,part
photo_004.jpg,73,89,355,364,part
photo_005.jpg,208,131,438,374,part
photo_006.jpg,204,113,533,397,part
photo_007.jpg,284,94,547,367,part
photo_008.jpg,163,133,362,292,part
photo_009.jpg,155,238,436,379,part
photo_010.jpg,93,100,486,393,part
photo_011.jpg,158,99,572,381,part
photo_012.jpg,254,117,595,387,part
photo_013.jpg,312,120,616,380,part
photo_014.jpg,335,93,621,379,part
photo_015.jpg,122,84,426,375,part
photo_016.jpg,89,158,373,382,part
photo_017.jpg,141,90,487,358,part
photo_018.jpg,195,109,497,391,part
photo_019.jpg,100,105,447,398,part
photo_020.jpg,160,58,510,378,part
photo_021.jpg,202,93,514,364,part
photo_022.jpg,164,102,470,367,part
photo_023.jpg,134,102,398,387,part
photo_024.jpg,180,126,483,363,part
photo_025.jpg,169,111,542,371,part
photo_026.jpg,88,105,478,384,part
photo_027.jpg,172,91,556,369,part
photo_028.jpg,218,115,561,372,part
photo_029.jpg,223,94,546,343,part
photo_030.jpg,312,113,602,363,part
photo_031.jpg,473,131,125,325,part
photo_032.jpg,53,89,397,380,part
photo_033.jpg,128,86,549,406,part
photo_034.jpg,263,120,615,376,part
photo_035.jpg,358,116,652,363,part
photo_036.jpg,146,92,496,372,part
photo_037.jpg,100,92,406,379,part
photo_038.jpg,70,76,477,397,part
photo_039.jpg,12,85,487,384,part
photo_040.jpg,198,118,614,376,part
photo_041.jpg,331,109,610,370,part
photo_042.jpg,628,97,164,331,part
photo_043.jpg,512,139,119,331,part
photo_044.jpg,17,128,502,368,part
photo_045.jpg,126,81,521,392,part
photo_046.jpg,252,107,632,346,part
photo_047.jpg,591,143,381,344,part
photo_048.jpg,545,106,172,330,part
photo_049.jpg,24,87,489,387,part
photo_050.jpg,162,110,603,360,part
photo_051.jpg,254,99,601,377,part
photo_052.jpg,629,138,121,341,part
photo_053.jpg,22,102,482,354,part
photo_054.jpg,166,103,621,363,part
photo_055.jpg,286,119,610,337,part
photo_056.jpg,567,169,158,324,part
photo_057.jpg,48,111,554,382,part
photo_058.jpg,138,168,546,402,part
photo_059.jpg,159,73,496,340,part
photo_060.jpg,37,168,495,363,part
photo_061.jpg,36,87,508,372,part
photo_062.jpg,146,86,632,378,part
photo_063.jpg,325,108,613,363,part
photo_064.jpg,549,193,275,360,part
photo_065.jpg,104,108,465,325,part
photo_066.jpg,37,79,612,424,part
photo_067.jpg,535,123,187,335,part
photo_068.jpg,122,123,538,394,part
photo_069.jpg,17,92,494,393,part
photo_070.jpg,118,106,604,419,part
photo_071.jpg,213,126,618,396,part
photo_072.jpg,315,98,641,388,part
photo_073.jpg,534,152,104,354,part
photo_074.jpg,31,101,474,409,part
photo_075.jpg,139,120,562,400,part
photo_076.jpg,281,100,612,381,part
photo_077.jpg,323,118,622,355,part
photo_078.jpg,107,103,553,380,part
photo_079.jpg,138,114,563,384,part
photo_080.jpg,199,84,616,395,part
photo_081.jpg,560,205,275,348,part
photo_082.jpg,136,111,459,366,part
photo_083.jpg,93,90,538,375,part
photo_084.jpg,257,120,647,423,part
photo_085.jpg,358,132,601,361,part
photo_086.jpg,107,100,540,399,part
photo_087.jpg,219,116,587,385,part
photo_088.jpg,308,107,632,395,part
photo_089.jpg,124,88,565,369,part
photo_090.jpg,98,74,426,356,part
photo_091.jpg,83,82,393,351,part
photo_092.jpg,153,115,574,408,part
photo_093.jpg,177,120,611,383,part
photo_094.jpg,271,132,547,313,part
photo_095.jpg,179,85,540,380,part
photo_096.jpg,267,142,529,351,part
photo_097.jpg,190,132,509,383,part
photo_098.jpg,189,136,475,345,part
photo_099.jpg,192,125,487,343,part
photo_100.jpg,284,98,557,316,part
