이미지,X1,Y1,X2,Y2,라벨
blue_top_001.jpg,339,290,1355,733,blue
blue_top_002.jpg,270,326,900,800,blue
blue_top_003.jpg,569,234,1583,774,blue
blue_top_004.jpg,485,364,1691,881,blue
blue_top_005.jpg,168,303,1713,843,blue
blue_top_006.jpg,300,258,1557,776,blue
blue_top_007.jpg,261,247,1335,843,blue
blue_top_008.jpg,59,229,945,672,blue
blue_top_009.jpg,129,227,939,796,blue
blue_top_010.jpg,444,438,1250,783,blue
blue_top_011.jpg,266,337,1514,794,blue
blue_top_012.jpg,480,362,1662,852,blue
blue_top_013.jpg,150,260,1251,708,blue
blue_top_014.jpg,276,242,1677,837,blue
blue_top_015.jpg,558,272,1218,661,blue
blue_top_016.jpg,464,420,1268,724,blue
blue_top_017.jpg,381,357,1311,780,blue
blue_top_018.jpg,327,344,1374,749,blue
blue_top_019.jpg,326,344,1206,749,blue
blue_top_020.jpg,108,265,1368,726,blue
blue_top_021.jpg,474,420,1479,773,blue
blue_top_022.jpg,465,371,1320,778,blue
blue_top_023.jpg,257,305,1544,859,blue
blue_top_024.jpg,656,342,1566,706,blue
blue_top_025.jpg,990,382,1794,834,blue
blue_top_026.jpg,596,418,1076,715,blue
blue_top_027.jpg,356,384,896,715,blue
blue_top_028.jpg,341,436,882,722,blue
blue_top_029.jpg,816,447,1406,704,blue
blue_top_030.jpg,902,400,1485,652,blue
blue_top_031.jpg,951,396,1565,699,blue
blue_top_032.jpg,1082,497,1428,677,blue
blue_top_033.jpg,992,371,1424,571,blue
blue_top_034.jpg,620,389,1560,740,blue
blue_top_035.jpg,486,443,1203,659,blue
blue_top_036.jpg,500,456,1170,679,blue
blue_top_037.jpg,237,355,1059,625,blue
blue_top_038.jpg,468,384,1158,630,blue
blue_top_039.jpg,521,456,1101,686,blue
blue_top_040.jpg,459,508,1287,731,blue
blue_top_041.jpg,626,386,1536,805,blue
blue_top_042.jpg,755,420,1673,854,blue
blue_top_043.jpg,678,373,1551,706,blue
blue_top_044.jpg,537,368,999,681,blue
blue_top_045.jpg,507,443,1263,731,blue
blue_top_046.jpg,114,382,1013,706,blue
blue_top_047.jpg,278,438,1104,783,blue
blue_top_048.jpg,89,465,1211,719,blue
blue_top_049.jpg,482,512,1550,753,blue
blue_top_050.jpg,614,456,1562,681,blue
blue_top_051.jpg,297,261,1023,463,blue
blue_top_052.jpg,221,290,1242,546,blue
blue_top_053.jpg,489,393,1356,625,blue
blue_top_054.jpg,101,310,1211,708,blue
blue_top_055.jpg,627,411,1515,760,blue
blue_top_056.jpg,615,461,1749,832,blue
blue_top_057.jpg,537,461,1629,733,blue
blue_top_058.jpg,602,402,1242,623,blue
blue_top_059.jpg,281,371,1011,654,blue
blue_top_060.jpg,417,463,1032,755,blue
blue_top_061.jpg,315,436,1338,834,blue
blue_top_062.jpg,258,303,1256,650,blue
blue_top_063.jpg,222,314,1167,533,blue
blue_top_064.jpg,465,384,1325,679,blue
blue_top_065.jpg,548,474,1458,758,blue
blue_top_066.jpg,48,283,1452,785,blue
blue_top_067.jpg,608,472,1325,731,blue
blue_top_068.jpg,459,380,1341,722,blue
blue_top_069.jpg,276,227,1686,879,blue
blue_top_070.jpg,993,200,1893,920,blue
blue_top_071.jpg,506,530,1740,825,blue
blue_top_072.jpg,365,315,1629,585,blue
blue_top_073.jpg,180,443,816,830,blue
blue_top_074.jpg,404,355,1304,587,blue
blue_top_075.jpg,240,206,1785,742,blue
blue_top_076.jpg,435,600,498,661,blue
blue_top_077.jpg,366,341,1815,809,blue
blue_top_078.jpg,336,346,1626,942,blue
blue_top_079.jpg,0,211,1368,776,blue
blue_top_080.jpg,456,299,1787,949,blue
blue_top_081.jpg,459,434,1359,737,blue
blue_top_082.jpg,305,301,1629,728,blue
blue_top_083.jpg,584,297,1758,769,blue
blue_top_084.jpg,228,378,1338,830,blue
blue_top_085.jpg,693,427,1667,841,blue
blue_top_086.jpg,419,465,1671,935,blue
blue_top_087.jpg,687,411,1815,863,blue
blue_top_088.jpg,371,326,1515,764,blue
blue_top_089.jpg,447,319,1725,929,blue
blue_top_090.jpg,477,371,1397,684,blue
blue_top_091.jpg,437,330,1377,679,blue
blue_top_092.jpg,437,330,1403,711,blue
blue_top_093.jpg,138,254,1395,704,blue
blue_top_094.jpg,315,287,1329,728,blue
blue_top_095.jpg,282,391,1287,733,blue
blue_top_096.jpg,302,409,1499,782,blue
blue_top_097.jpg,426,400,1500,740,blue
blue_top_098.jpg,261,314,1392,697,blue
blue_top_099.jpg,356,279,1527,762,blue
blue_top_100.jpg,354,335,1460,693,blue
