이미지,X1,Y1,X2,Y2,라벨
camera_1_001.jpg,584,55,1165,966,camera_1
camera_1_002.jpg,485,72,1573,679,camera_1
camera_1_003.jpg,476,144,1503,685,camera_1
camera_1_004.jpg,154,209,1196,751,camera_1
camera_1_005.jpg,311,39,984,882,camera_1
camera_1_006.jpg,213,114,983,871,camera_1
camera_1_007.jpg,394,177,1408,700,camera_1
camera_1_008.jpg,587,30,1469,549,camera_1
camera_1_009.jpg,420,86,966,997,camera_1
camera_1_010.jpg,595,39,1175,933,camera_1
camera_1_011.jpg,288,127,1075,959,camera_1
camera_1_012.jpg,293,104,1103,858,camera_1
camera_1_013.jpg,595,136,1576,886,camera_1
camera_1_014.jpg,164,152,1129,787,camera_1
camera_1_015.jpg,664,10,1507,578,camera_1
camera_1_016.jpg,339,257,1410,871,camera_1
camera_1_017.jpg,446,163,1480,798,camera_1
camera_1_018.jpg,569,15,1189,827,camera_1
camera_1_019.jpg,316,130,1492,663,camera_1
camera_1_020.jpg,429,208,1550,796,camera_1
camera_1_021.jpg,185,165,1249,806,camera_1
