이미지,X1,Y1,X2,Y2,라벨
top_001.jpg,164,155,515,341,part
top_002.jpg,116,93,560,360,part
top_003.jpg,148,146,517,328,part
top_004.jpg,158,146,365,327,part
top_005.jpg,252,148,512,353,part
top_006.jpg,132,120,367,352,part
top_007.jpg,117,84,584,369,part
top_008.jpg,324,145,635,414,part
top_009.jpg,84,134,586,391,part
top_010.jpg,58,107,583,385,part
top_011.jpg,77,113,550,360,part
top_012.jpg,111,174,459,286,part
top_013.jpg,127,136,626,380,part
top_014.jpg,153,165,552,371,part
top_015.jpg,202,200,490,370,part
top_016.jpg,15,92,592,395,part
top_017.jpg,13,84,368,371,part
top_018.jpg,226,95,573,362,part
top_019.jpg,227,73,582,365,part
top_020.jpg,117,165,392,347,part
top_021.jpg,324,132,541,400,part
top_022.jpg,283,214,537,397,part
top_023.jpg,251,73,519,256,part
top_024.jpg,103,123,264,283,part
top_025.jpg,169,121,444,335,part
top_026.jpg,76,137,589,471,part
top_027.jpg,106,81,553,336,part
top_028.jpg,140,176,528,313,part
top_029.jpg,130,113,522,330,part
top_030.jpg,158,129,523,312,part
top_031.jpg,94,158,352,314,part
top_032.jpg,306,150,527,320,part
top_033.jpg,102,113,545,321,part
top_034.jpg,147,169,340,298,part
top_035.jpg,77,113,544,335,part
top_036.jpg,94,160,536,340,part
top_037.jpg,121,121,496,322,part
top_038.jpg,119,141,553,327,part
top_039.jpg,101,123,546,359,part
top_040.jpg,128,144,551,319,part
top_041.jpg,191,154,525,325,part
top_042.jpg,161,143,579,352,part
top_043.jpg,133,146,499,321,part
top_044.jpg,141,164,404,337,part
top_045.jpg,146,202,494,384,part
top_046.jpg,149,137,513,302,part
top_047.jpg,132,160,558,356,part
top_048.jpg,144,166,660,383,part
top_049.jpg,114,119,440,344,part
top_050.jpg,139,130,423,285,part
top_051.jpg,440,294,157,125,part
top_052.jpg,176,155,296,323,part
top_053.jpg,148,116,252,316,part
top_054.jpg,212,156,488,347,part
top_055.jpg,136,122,557,382,part
top_056.jpg,115,125,563,369,part
top_057.jpg,142,127,581,379,part
top_058.jpg,292,141,524,398,part
top_059.jpg,311,141,510,296,part
top_060.jpg,156,149,408,328,part
top_061.jpg,149,170,393,340,part
top_062.jpg,337,151,555,419,part
top_063.jpg,189,156,388,301,part
top_064.jpg,294,169,449,294,part
top_065.jpg,149,128,386,294,part
top_066.jpg,215,167,423,319,part
top_067.jpg,169,148,461,284,part
top_068.jpg,151,156,443,301,part
top_069.jpg,110,136,530,333,part
top_070.jpg,138,150,541,373,part
top_071.jpg,146,147,565,349,part
top_072.jpg,115,100,569,360,part
top_073.jpg,120,111,572,386,part
top_074.jpg,133,140,526,409,part
top_075.jpg,535,376,180,145,part
top_076.jpg,151,111,565,348,part
top_077.jpg,358,162,543,326,part
top_078.jpg,353,148,506,247,part
top_079.jpg,233,227,491,324,part
top_080.jpg,156,184,311,295,part
top_081.jpg,170,137,527,327,part
top_082.jpg,174,141,478,296,part
top_083.jpg,206,168,518,353,part
top_084.jpg,146,155,505,310,part
top_085.jpg,126,126,517,327,part
top_086.jpg,114,151,535,346,part
top_087.jpg,301,155,543,321,part
top_088.jpg,329,131,526,304,part
top_089.jpg,174,159,385,337,part
top_090.jpg,206,156,540,340,part
top_091.jpg,156,154,517,340,part
top_092.jpg,82,149,388,292,part
top_093.jpg,105,125,509,341,part
top_094.jpg,123,172,590,379,part
top_095.jpg,98,144,544,340,part
top_096.jpg,169,149,569,338,part
top_097.jpg,148,140,539,329,part
top_098.jpg,133,150,489,328,part
top_099.jpg,150,165,528,376,part
