epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.538,0,113.555,0,0,0,0,0,0,4.59375,0,0.00012,0.00012,0.00012
2,20.5953,0,113.159,0,0,0,0,0,0,4.59375,0,0.000254852,0.000254852,0.000254852
3,22.8806,0,98.1158,0,0,0,0,0,0,4.59375,0,0.00038416,0.00038416,0.00038416
4,25.7167,0,85.8075,0,0,0,0,0,0,4.59375,0,0.000507924,0.000507924,0.000507924
5,27.9975,0,76.2048,0,0,0,0,0,0,4.59375,0,0.000626144,0.000626144,0.000626144
6,30.1832,0,70.3099,0,0,0,0,0,0,3.56055,0,0.00073882,0.00073882,0.00073882
7,32.4639,0,65.9408,0,0,0,0,0,0,1.08203,0,0.000845952,0.000845952,0.000845952
8,34.2077,0,62.6872,0,0,0,0,0,0,1.08008,0,0.00094754,0.00094754,0.00094754
9,36.3611,0,60.4194,0,0,0,0,0,0,1.53125,0,0.00104358,0.00104358,0.00104358
10,38.1506,0,58.0738,0,0,0,0,0,0,1.58203,0,0.00113408,0.00113408,0.00113408
11,39.9002,0,55.7696,0,0,0,0,0,0,1.44922,0,0.00121904,0.00121904,0.00121904
12,41.5788,0,55.9257,0,0,0,0,0,0,1.45898,0,0.00129845,0.00129845,0.00129845
13,43.1442,0,51.4821,0,0,0,0,0,0,1.3418,0,0.00137232,0.00137232,0.00137232
14,44.6649,0,49.4515,0,0,0,0,0,0,0.89062,0,0.00144064,0.00144064,0.00144064
15,46.2648,0,47.4832,0,0,0,0,0,0,0.79297,0,0.0014456,0.0014456,0.0014456
16,47.9533,0,45.3415,0,0,0,0,0,0,0.79102,0,0.001406,0.001406,0.001406
17,49.8167,0,43.1871,0,0,0,0,0,0,0.79297,0,0.0013664,0.0013664,0.0013664
18,51.3876,0,41.6559,0,0,0,0,0,0,1.1875,0,0.0013268,0.0013268,0.0013268
19,53.0747,0,39.6533,0,0,0,0,0,0,1.02344,0,0.0012872,0.0012872,0.0012872
20,54.7034,0,37.8868,0,0,0,0,0,0,0.6582,0,0.0012476,0.0012476,0.0012476
21,56.1008,0,36.3908,0,0,0,0,0,0,0.65625,0,0.001208,0.001208,0.001208
22,57.5657,0,34.8502,0,0,0,0,0,0,0.65625,0,0.0011684,0.0011684,0.0011684
23,59.2434,0,33.5873,0,0,0,0,0,0,0.66016,0,0.0011288,0.0011288,0.0011288
24,61.3752,0,32.2694,0,0,0,0,0,0,0.65625,0,0.0010892,0.0010892,0.0010892
25,62.7449,0,31.0285,0,0,0,0,0,0,0.65625,0,0.0010496,0.0010496,0.0010496
26,64.2237,0,29.9035,0,0,0,0,0,0,0.65625,0,0.00101,0.00101,0.00101
27,65.7859,0,28.9456,0,0,0,0,0,0,0.65625,0,0.0009704,0.0009704,0.0009704
28,68.4455,0,27.8268,0,0,0,0,0,0,0.65625,0,0.0009308,0.0009308,0.0009308
29,70.6721,0,26.8345,0,0,0,0,0,0,0.65625,0,0.0008912,0.0008912,0.0008912
30,73.7813,0,26.0525,0,0,0,0,0,0,0.65625,0,0.0008516,0.0008516,0.0008516
31,75.2788,0,25.36,0,0,0,0,0,0,0.65625,0,0.000812,0.000812,0.000812
32,77.2702,0,24.4552,0,0,0,0,0,0,0.65625,0,0.0007724,0.0007724,0.0007724
33,78.7188,0,23.6802,0,0,0,0,0,0,0.65625,0,0.0007328,0.0007328,0.0007328
34,80.2002,0,23.1179,0,0,0,0,0,0,0.65625,0,0.0006932,0.0006932,0.0006932
35,81.9584,0,22.5164,0,0,0,0,0,0,0.65625,0,0.0006536,0.0006536,0.0006536
36,83.5199,0,21.9287,0,0,0,0,0,0,0.65625,0,0.000614,0.000614,0.000614
37,85.024,0,21.3488,0,0,0,0,0,0,0.65625,0,0.0005744,0.0005744,0.0005744
38,86.6368,0,20.9015,0,0,0,0,0,0,0.65625,0,0.0005348,0.0005348,0.0005348
39,88.121,0,20.5196,0,0,0,0,0,0,0.65625,0,0.0004952,0.0004952,0.0004952
40,90.015,0,20.1103,0,0,0,0,0,0,0.65625,0,0.0004556,0.0004556,0.0004556
41,144.041,0,19.7556,0,0,0,0,0,0,0.65625,0,0.000416,0.000416,0.000416
42,153.216,0,19.4565,0,0,0,0,0,0,0.65625,0,0.0003764,0.0003764,0.0003764
43,160.975,0,19.1763,0,0,0,0,0,0,0.65625,0,0.0003368,0.0003368,0.0003368
44,163.733,0,18.9058,0,0,0,0,0,0,0.65625,0,0.0002972,0.0002972,0.0002972
45,165.951,0,18.6698,0,0,0,0,0,0,0.65625,0,0.0002576,0.0002576,0.0002576
46,168.65,0,18.5151,0,0,0,0,0,0,0.65625,0,0.000218,0.000218,0.000218
47,170.703,0,18.3819,0,0,0,0,0,0,0.65625,0,0.0001784,0.0001784,0.0001784
48,172.752,0,18.241,0,0,0,0,0,0,0.65625,0,0.0001388,0.0001388,0.0001388
49,174.573,0,18.1263,0,0,0,0,0,0,0.65625,0,9.92e-05,9.92e-05,9.92e-05
50,176.4,0,18.0824,0,0,0,0,0,0,0.65625,0,5.96e-05,5.96e-05,5.96e-05
