epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.132,1.5754,2.27301,1.31058,0.99103,1,0.995,0.82619,0.72727,0.80985,0.83004,0.00333078,0.00333078,0.00333078
2,473.482,1.2424,1.52431,1.17199,0.99607,1,0.995,0.87637,0.624,0.52121,0.81539,0.00659814,0.00659814,0.00659814
3,694.128,1.20524,1.41094,1.17758,0.99529,1,0.995,0.92048,0.48629,0.66688,0.79975,0.0097995,0.0097995,0.0097995
4,913.244,1.11264,1.30356,1.14586,0.99716,1,0.995,0.89612,0.52342,0.34497,0.78905,0.009703,0.009703,0.009703
5,1131.62,0.9886,1.20912,1.09177,0.99734,1,0.995,0.94125,0.3486,0.27886,0.78065,0.009604,0.009604,0.009604
6,1350.14,0.91447,1.16646,1.06121,0.99739,1,0.995,0.93451,0.35267,0.27679,0.77859,0.009505,0.009505,0.009505
7,1568.93,0.85956,1.12773,1.03818,0.99741,1,0.995,0.95251,0.28161,0.23663,0.76493,0.009406,0.009406,0.009406
8,1787.97,0.8132,1.10269,1.02023,0.99739,1,0.995,0.9562,0.33035,0.24613,0.76759,0.009307,0.009307,0.009307
9,2007.31,0.78853,1.09784,1.0108,0.99729,1,0.995,0.96052,0.29715,0.26024,0.76223,0.009208,0.009208,0.009208
10,2225.52,0.75968,1.06998,0.99444,0.99749,1,0.995,0.97773,0.27484,0.22096,0.75635,0.009109,0.009109,0.009109
11,2445.25,0.73304,1.05398,0.98492,0.99755,1,0.995,0.9693,0.23972,0.22063,0.75414,0.00901,0.00901,0.00901
12,2663.75,0.72547,1.06751,0.98443,0.99753,1,0.995,0.995,0.21022,0.18919,0.75408,0.008911,0.008911,0.008911
13,2881.12,0.71484,1.04927,0.97945,0.99753,1,0.995,0.98307,0.23749,0.19931,0.75462,0.008812,0.008812,0.008812
14,3100.67,0.6943,1.03782,0.96934,0.99747,1,0.995,0.96894,0.31936,0.22308,0.76333,0.008713,0.008713,0.008713
15,3322.5,0.68196,1.03233,0.96719,0.99754,1,0.995,0.99259,0.20174,0.20335,0.75125,0.008614,0.008614,0.008614
16,3540.97,0.67365,1.03363,0.9626,0.99754,1,0.995,0.989,0.20346,0.16794,0.74681,0.008515,0.008515,0.008515
17,3759.26,0.65721,1.01009,0.95562,0.99751,1,0.995,0.98835,0.21074,0.16526,0.74778,0.008416,0.008416,0.008416
18,3977.26,0.65521,1.02569,0.95668,0.99757,1,0.995,0.98888,0.24072,0.17724,0.7496,0.008317,0.008317,0.008317
19,4198.71,0.64263,1.00881,0.95093,0.99758,1,0.995,0.995,0.20826,0.16309,0.74731,0.008218,0.008218,0.008218
