epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51672,2.48215,3.24991,2.78239,0.00281,0.84211,0.11711,0.01977,2.99654,3.72854,3.79983,8e-05,8e-05,8e-05
2,8.9592,2.379,3.21258,2.71822,0.00333,1,0.38736,0.113,2.4519,3.34132,2.95895,0.000178218,0.000178218,0.000178218
3,10.4444,1.74552,2.67517,1.99556,0.00333,1,0.23203,0.07009,2.11487,3.30895,2.57791,0.000274456,0.000274456,0.000274456
4,11.9038,1.61037,2.45786,1.89671,0.00333,1,0.5609,0.11395,2.45913,3.21947,3.07402,0.000368714,0.000368714,0.000368714
5,13.2865,1.50213,2.29525,1.79612,0.00333,1,0.10049,0.03004,2.35764,3.09356,3.02811,0.000460992,0.000460992,0.000460992
6,14.6654,1.48472,2.23753,1.74191,0.00333,1,0.44156,0.13425,1.95284,3.04932,2.46698,0.00055129,0.00055129,0.00055129
7,16.0655,1.55581,2.25833,1.74978,0.00246,0.73684,0.37442,0.07352,3.06577,3.27544,4.69186,0.000639608,0.000639608,0.000639608
8,17.419,1.63355,2.21668,1.83212,0.00333,1,0.56663,0.17591,2.366,3.09661,3.57676,0.000725946,0.000725946,0.000725946
9,18.8274,1.57882,2.26377,1.84412,0.00333,1,0.59586,0.22853,1.89284,2.8501,2.5241,0.000810304,0.000810304,0.000810304
10,20.2163,1.58963,2.29949,1.79721,0.12838,1,0.40424,0.09792,2.0756,2.90345,2.63131,0.000892682,0.000892682,0.000892682
11,21.5657,1.58375,2.08488,1.75211,0.01793,1,0.65746,0.17791,1.90361,2.7308,2.3622,0.00097308,0.00097308,0.00097308
12,22.9819,1.64227,2.17746,1.79715,0.01412,1,0.1892,0.06853,2.0509,2.85603,2.86041,0.0010515,0.0010515,0.0010515
13,24.2597,1.65275,2.1107,1.81278,0.05027,1,0.398,0.12472,2.07132,2.83208,2.77807,0.00112794,0.00112794,0.00112794
14,25.6603,1.56422,2.07797,1.73607,0.56817,0.68421,0.54639,0.18027,1.93347,2.59321,2.4031,0.00120239,0.00120239,0.00120239
15,27.1117,1.46774,1.99949,1.7107,0.12907,0.89474,0.42004,0.14844,2.11845,2.73183,2.61146,0.00127487,0.00127487,0.00127487
16,28.4767,1.60493,2.09407,1.7767,0.29848,0.57895,0.38548,0.14644,2.041,2.59645,2.58641,0.00134537,0.00134537,0.00134537
17,29.7762,1.61767,2.09735,1.80016,0.08598,0.68421,0.42558,0.14949,2.25129,2.6038,2.74958,0.00141389,0.00141389,0.00141389
18,31.1237,1.61699,1.94066,1.72267,0.2049,0.92245,0.63194,0.23508,1.77225,2.64996,2.17169,0.00148043,0.00148043,0.00148043
19,32.4193,1.62299,1.98473,1.78693,0.45576,0.89474,0.83391,0.15052,2.24136,3.73872,2.71874,0.00154498,0.00154498,0.00154498
20,33.7498,1.57513,1.89376,1.69828,0.50671,0.68421,0.5951,0.20022,2.07904,3.92931,2.56874,0.00160756,0.00160756,0.00160756
21,35.0913,1.64866,1.9327,1.77121,0.32437,0.73684,0.55586,0.22447,2.02203,4.08392,2.57671,0.001604,0.001604,0.001604
22,36.3692,1.63703,1.908,1.76649,0.34974,0.73684,0.56199,0.16619,2.16047,4.39693,2.78816,0.0015842,0.0015842,0.0015842
23,37.712,1.57158,1.89069,1.73407,0.34903,0.73684,0.54413,0.18892,2.28099,3.44611,2.76554,0.0015644,0.0015644,0.0015644
24,39.0991,1.59198,1.87917,1.77501,0.61964,0.63158,0.60964,0.21014,1.93426,2.63138,2.4312,0.0015446,0.0015446,0.0015446
25,40.4687,1.56421,2.00553,1.76429,0.59767,0.62576,0.62409,0.16248,2.03518,3.9181,3.12175,0.0015248,0.0015248,0.0015248
26,41.8107,1.545,1.81474,1.71269,0.62148,0.63158,0.54048,0.162,2.02111,3.63498,2.96791,0.001505,0.001505,0.001505
27,43.1252,1.57266,1.94175,1.71937,0.61654,0.63158,0.53731,0.19047,1.94802,2.65717,2.51026,0.0014852,0.0014852,0.0014852
28,44.444,1.62071,1.83416,1.74645,0.12693,1,0.60655,0.2358,1.77233,2.0765,2.21434,0.0014654,0.0014654,0.0014654
29,45.7659,1.55287,1.75919,1.62322,0.36088,0.73684,0.64338,0.23358,1.86973,1.79478,2.38798,0.0014456,0.0014456,0.0014456
30,47.1037,1.52639,1.88368,1.72226,0.34816,0.89474,0.7025,0.23552,1.824,1.80477,2.30242,0.0014258,0.0014258,0.0014258
31,48.4542,1.52042,1.86069,1.72299,0.35062,1,0.82516,0.24221,1.84497,1.91518,2.2588,0.001406,0.001406,0.001406
32,49.8287,1.58482,1.87133,1.74009,0.33208,1,0.72186,0.23083,1.91546,1.86845,2.27767,0.0013862,0.0013862,0.0013862
33,51.1988,1.48069,1.80953,1.69983,0.36314,1,0.68252,0.21227,1.90587,1.77355,2.25467,0.0013664,0.0013664,0.0013664
34,52.5766,1.54624,1.74494,1.72977,0.3152,0.94737,0.63714,0.19854,1.9768,1.72698,2.32179,0.0013466,0.0013466,0.0013466
35,53.9381,1.68093,1.7946,1.74567,0.33392,1,0.66381,0.22227,2.10271,1.72472,2.39968,0.0013268,0.0013268,0.0013268
36,55.307,1.61845,1.73841,1.73992,0.24921,1,0.63385,0.19934,2.07849,1.81155,2.36434,0.001307,0.001307,0.001307
37,56.7914,1.58535,1.75461,1.68962,0.30063,0.94737,0.67923,0.21039,2.02831,1.82283,2.32425,0.0012872,0.0012872,0.0012872
38,58.0632,1.57323,1.78101,1.69593,0.27076,0.84211,0.55133,0.18634,2.01229,1.97932,2.33304,0.0012674,0.0012674,0.0012674
39,59.4545,1.56817,1.80717,1.69662,0.29388,0.89474,0.40778,0.14614,1.96311,1.95363,2.29421,0.0012476,0.0012476,0.0012476
40,60.78,1.55754,1.75161,1.69605,0.22841,1,0.80001,0.24383,1.9062,2.20895,2.12964,0.0012278,0.0012278,0.0012278
41,62.0983,1.54092,1.72632,1.69751,0.24502,1,0.80786,0.27475,1.92205,2.2272,2.18073,0.001208,0.001208,0.001208
42,63.4914,1.51527,1.76234,1.61831,0.32229,0.94737,0.58182,0.20093,1.94212,2.05139,2.22185,0.0011882,0.0011882,0.0011882
43,64.8014,1.45343,1.78388,1.62867,0.32795,0.84211,0.53493,0.18103,2.03508,1.86971,2.30697,0.0011684,0.0011684,0.0011684
44,66.2249,1.4923,1.71735,1.67716,0.41418,0.84211,0.55227,0.18491,2.03922,1.65386,2.3197,0.0011486,0.0011486,0.0011486
45,67.5764,1.53356,1.63684,1.68204,0.44722,0.89474,0.63012,0.22033,2.09435,1.60462,2.39419,0.0011288,0.0011288,0.0011288
46,68.9193,1.61939,1.77183,1.76308,0.43719,0.89474,0.62378,0.20019,2.14328,1.60199,2.42777,0.001109,0.001109,0.001109
47,70.2453,1.63712,1.69131,1.73438,0.33666,1,0.66785,0.22296,2.02881,1.62426,2.30878,0.0010892,0.0010892,0.0010892
48,71.5768,1.4997,1.69868,1.66209,0.41402,0.89474,0.6698,0.20348,2.00181,1.65839,2.28173,0.0010694,0.0010694,0.0010694
49,72.9508,1.47259,1.69234,1.65915,0.59895,0.94737,0.82171,0.2281,1.9985,1.64835,2.27014,0.0010496,0.0010496,0.0010496
50,74.3444,1.53052,1.63467,1.6716,0.52927,0.73684,0.59458,0.20868,1.98387,1.6565,2.28948,0.0010298,0.0010298,0.0010298
51,75.6427,1.52571,1.7671,1.68395,0.6314,0.89474,0.68982,0.22055,2.00438,1.61045,2.33212,0.00101,0.00101,0.00101
52,76.9793,1.49619,1.78703,1.67442,0.47056,0.94737,0.70734,0.21449,2.02654,1.55494,2.33156,0.0009902,0.0009902,0.0009902
